,open_2,low_2,high_2,close_2,volume_2
2005-12-04,214.46,213.29,215.99,214.0,44629.0
2005-12-05,214.0,212.49,215.15,213.39,46706.0
2005-12-06,213.39,212.96,215.72,215.0,48240.0
2005-12-07,214.99,214.8,216.68,215.94,45563.0
2005-12-08,215.94,215.5,217.56,216.1,48539.0
2005-12-09,216.12,214.86,217.2,214.95,45419.0
2005-12-10,216.12,214.86,217.2,214.95,45419.0
2005-12-11,216.12,214.86,217.2,214.95,45419.0
2005-12-12,214.95,210.13,216.53,210.38,48563.0
2005-12-13,210.39,209.09,212.68,209.47,55008.0
2005-12-14,209.47,209.05,210.72,209.88,54422.0
2005-12-15,209.9,209.7,211.52,211.03,51546.0
2005-12-16,211.03,207.89,211.39,209.08,48735.0
2005-12-17,211.03,207.89,211.39,209.08,48735.0
2005-12-18,211.03,207.89,211.39,209.08,48735.0
2005-12-19,209.0,208.77,210.97,210.06,45760.0
2005-12-20,210.06,209.48,211.63,211.37,48274.0
2005-12-21,211.37,210.44,212.59,211.46,46368.0
2005-12-22,211.46,210.8,212.2,210.98,40780.0
2005-12-23,210.98,210.09,212.45,210.85,32333.0
2005-12-24,210.98,210.09,212.45,210.85,32333.0
2005-12-25,210.98,210.09,212.45,210.85,32333.0
2005-12-26,210.85,210.47,211.03,210.91,5244.0
2005-12-27,210.92,210.68,212.28,211.78,39784.0
2005-12-28,211.78,210.41,213.23,212.27,51731.0
2005-12-29,212.27,211.52,213.54,212.22,43668.0
2005-12-30,212.22,211.6,214.31,211.86,36765.0
2005-12-31,212.22,211.6,214.31,211.86,36765.0
2006-01-01,212.22,211.6,214.31,211.86,36765.0
2006-01-02,211.86,211.33,212.83,211.69,10819.0
2006-01-03,211.69,207.61,212.65,207.85,53924.0
2006-01-04,207.86,205.69,208.64,206.62,55961.0
2006-01-05,206.62,206.23,207.67,206.77,51132.0
2006-01-06,206.77,204.54,207.62,205.01,44703.0
2006-01-07,206.77,204.54,207.62,205.01,44703.0
2006-01-08,206.77,204.54,207.62,205.01,44703.0
2006-01-09,205.01,204.87,207.2,206.65,46579.0
2006-01-10,206.65,206.61,208.49,207.28,47370.0
2006-01-11,207.28,205.1,208.05,205.45,49913.0
2006-01-12,205.45,205.16,208.4,207.37,49005.0
2006-01-13,207.37,204.2,207.98,205.01,48354.0
2006-01-14,207.37,204.2,207.98,205.01,48354.0
2006-01-15,207.37,204.2,207.98,205.01,48354.0
2006-01-16,205.01,204.97,206.64,205.77,30746.0
2006-01-17,205.76,205.4,208.07,207.27,13730.0
2006-01-18,207.28,206.9,208.74,207.61,17531.0
2006-01-19,207.61,207.3,208.58,207.91,14347.0
2006-01-20,207.91,203.12,208.68,203.58,24989.0
2006-01-21,207.91,203.12,208.68,203.58,24989.0
2006-01-22,207.91,203.12,208.68,203.58,24989.0
2006-01-23,203.58,202.49,204.97,203.13,19655.0
2006-01-24,203.11,202.7,203.89,203.15,14462.0
2006-01-25,203.16,201.8,203.49,202.59,15879.0
2006-01-26,202.59,202.57,205.45,205.0,14400.0
2006-01-27,205.0,204.99,207.52,206.57,15789.0
2006-01-28,205.0,204.99,207.52,206.57,15789.0
2006-01-29,205.0,204.99,207.52,206.57,15789.0
2006-01-30,206.57,205.97,208.66,207.73,11605.0
2006-01-31,207.73,205.87,208.68,206.6,14397.0
2006-02-01,206.6,206.47,208.31,208.02,13664.0
2006-02-02,208.04,206.86,208.77,207.21,13099.0
2006-02-03,207.22,206.56,209.38,207.14,12488.0
2006-02-04,207.22,206.56,209.38,207.14,12488.0
